time_s,phase,leg_length_mm,chassis_y_m,chassis_z_m,vertical_velocity_m_s,pitch_deg,ground_wheel_contacts,step_wheel_contacts,both_wheels_on_step_top,max_hip_torque_nm,max_wheel_torque_nm
1.5549999999999395,APPROACH,89.39308914420563,-0.07339793462735554,0.08050453924523417,4.3261309293671246e-05,1.5025494898186014,4,0,False,0.31208761585375266,0.008338529960037758
1.5559999999999394,APPROACH,89.39308770089202,-0.07341737414515458,0.08050458252557832,4.328034415400541e-05,1.5008091690215422,4,0,False,0.31208812865197144,0.0083455096246296
1.5569999999999393,APPROACH,89.39308625480986,-0.07343699917228773,0.0805046258242899,4.329871157158698e-05,1.4990659941604016,4,0,False,0.31208864061244773,0.008352460070713478
1.5579999999999392,APPROACH,89.3930848059717,-0.07345680948516649,0.08050466914070561,4.331641572005588e-05,1.4973199819648333,4,0,False,0.3120891517466782,0.008359381337351394
1.558999999999939,APPROACH,89.39308335439,-0.07347680485993383,0.08050471247416635,4.333346073952193e-05,1.495571149059788,4,0,False,0.3120896620661428,0.008366273463359176
1.559999999999939,APPROACH,89.39308190007705,-0.07349698507246548,0.08050475582401709,4.3349850737800486e-05,1.493819511966491,4,0,False,0.3120901715822724,0.008373136487342479
1.5609999999999389,APPROACH,89.39308044304522,-0.07351734989837129,0.08050479918960687,4.336558979264099e-05,1.4920650871034145,4,0,False,0.3120906803062206,0.008379970447693577
1.5619999999999388,APPROACH,89.39307898330668,-0.07353789911299649,0.08050484257028882,4.338068195036169e-05,1.4903078907872411,4,0,False,0.31209118824916166,0.008386775382573318
1.5629999999999387,APPROACH,89.3930775208736,-0.07355863249142303,0.08050488596542005,4.3395131226631734e-05,1.4885479392338123,4,0,False,0.31209169542201987,0.0083935513299353
1.5639999999999386,APPROACH,89.39307605575814,-0.07357954980847083,0.08050492937436166,4.340894160575379e-05,1.4867852485590733,4,0,False,0.31209220183570535,0.00840029832750994
1.5649999999999384,APPROACH,89.39307458797215,-0.0736006508386991,0.0805049727964787,4.3422117041883535e-05,1.4850198347800039,4,0,False,0.3120927075009944,0.008407016412824667
1.5659999999999383,APPROACH,89.39307311752766,-0.07362193535640765,0.08050501623114016,4.3434661459304374e-05,1.4832517138155443,4,0,False,0.3120932124285397,0.008413705623199043
1.5669999999999382,APPROACH,89.3930716444366,-0.07364340313563811,0.08050505967771891,4.344657875318131e-05,1.4814809014875108,4,0,False,0.31209371662882923,0.008420365995747253
1.567999999999938,APPROACH,89.39307016871071,-0.07366505395017524,0.0805051031355917,4.345787278799463e-05,1.4797074135215011,4,0,False,0.31209422011234006,0.008426997567368064
1.568999999999938,APPROACH,89.39306869036169,-0.07368688757354817,0.0805051466041391,4.3468547399299714e-05,1.4779312655477912,4,0,False,0.31209472288932133,0.008433600374773087
1.569999999999938,APPROACH,89.39306720940131,-0.07370890377903172,0.0805051900827455,4.3478606393233843e-05,1.4761524731022246,4,0,False,0.3120952249700648,0.008440174454465838
1.5709999999999378,APPROACH,89.39306572584123,-0.07373110233964757,0.08050523357079904,4.34880535478954e-05,1.4743710516270918,4,0,False,0.31209572636452326,0.008446719842762242
1.5719999999999377,APPROACH,89.39306423969279,-0.07375348302816559,0.08050527706769166,4.349689261172935e-05,1.4725870164720027,4,0,False,0.3120962270829668,0.008453236575769442
1.5729999999999376,APPROACH,89.3930627509676,-0.07377604561710505,0.08050532057281896,4.3505127308382604e-05,1.4708003828947471,4,0,False,0.3120967271350482,0.008459724689439183
1.5739999999999374,APPROACH,89.39306125967708,-0.07379878987873587,0.08050536408558029,4.351276133121679e-05,1.4690111660621565,4,0,False,0.31209722653054056,0.008466184219481584
1.5749999999999373,APPROACH,89.39305976583252,-0.07382171558507984,0.08050540760537864,4.3519798345369035e-05,1.4672193810509382,4,0,False,0.312097725279297,0.008472615201451194
1.5759999999999372,APPROACH,89.3930582694453,-0.07384482250791188,0.08050545113162062,4.352624199068033e-05,1.4654250428485207,4,0,False,0.3120982233907019,0.008479017670721777
1.5769999999999371,APPROACH,89.39305677052661,-0.07386811041876125,0.0805054946637165,4.353209587745939e-05,1.4636281663538846,4,0,False,0.31209872087426094,0.008485391662453452
1.577999999999937,APPROACH,89.39305526908758,-0.07389157908891276,0.08050553820108008,4.353736358926696e-05,1.4618287663783769,4,0,False,0.31209921773945365,0.00849173721165367
1.578999999999937,APPROACH,89.39305376513929,-0.07391522828940802,0.08050558174312877,4.354204868499621e-05,1.4600268576465307,4,0,False,0.3120997139954995,0.008498054353152746
1.5799999999999368,APPROACH,89.39305225869283,-0.07393905779104662,0.08050562528928347,4.35461546969775e-05,1.4582224547968696,4,0,False,0.312100209651546,0.008504343121590421
1.5809999999999367,APPROACH,89.39305074975918,-0.07396306736438735,0.0805056688389686,4.3549685130515424e-05,1.456415572382705,4,0,False,0.3121007047166485,0.00851060355143287
1.5819999999999366,APPROACH,89.39304923834929,-0.07398725677974939,0.08050571239161207,4.35526434650368e-05,1.4546062248729237,4,0,False,0.3121011991999155,0.008516835676978581
1.5829999999999365,APPROACH,89.3930477244739,-0.07401162580721354,0.08050575594664522,4.3555033156165726e-05,1.4527944266527715,4,0,False,0.31210169311007263,0.008523039532365833
1.5839999999999363,APPROACH,89.39304620814396,-0.07403617421662337,0.08050579950350285,4.355685763212662e-05,1.4509801920246306,4,0,False,0.31210218645591914,0.008529215151537664
1.5849999999999362,APPROACH,89.39304468937013,-0.07406090177758644,0.08050584306162314,4.355812029573824e-05,1.44916353520878,4,0,False,0.3121026792462668,0.008535362568290872
1.5859999999999361,APPROACH,89.39304316816315,-0.07408580825947546,0.08050588662044768,4.355882452660533e-05,1.4473444703441596,4,0,False,0.3121031714895404,0.008541481816263255
1.586999999999936,APPROACH,89.3930416445336,-0.0741108934314295,0.08050593017942136,4.3558973678030976e-05,1.4455230114891213,4,0,False,0.31210366319439475,0.008547572928907623
