mode,mass_kg,ballistic_height_m,time_s,l0_m,body_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,required_joint_torque_nm,available_joint_torque_nm,torque_utilization,total_mechanical_power_w
landing,2.3,0.1,0.05355326179608877,0.07312500000000001,0.35011872986174275,6.317395919353882,60.32668728202434,0.9375339939749172,5.805042724615558,0.1615033753325228,-23.69109371117076
landing,2.3,0.1,0.05369607049421168,0.0730752,0.34731778002284885,6.27219949859813,59.895093255624,0.9367353895046757,5.807817257642417,0.16128871621641333,-23.501564961481392
landing,2.3,0.1,0.05383887919233458,0.07302580000000002,0.34451683018395496,6.226894951155679,59.46246669542355,0.9359414441167598,5.810598428386562,0.16107487992018132,-23.31203621179203
landing,2.3,0.1,0.05398168789045748,0.07297680000000001,0.34171588034506106,6.181482409839895,59.02880886969723,0.9351521984959252,5.813386228694803,0.16086187321943715,-23.122507462102668
landing,2.3,0.1,0.05412449658858039,0.07292820000000001,0.33891493050616694,6.135962020795555,58.594121174024856,0.9343676930646946,5.816180649595554,0.16064970284746377,-22.93297871241329
landing,2.3,0.1,0.05426730528670329,0.07288000000000001,0.33611398066727305,6.090333943539788,58.158405131682805,0.9335879679819787,5.818981681296325,0.16043837549493684,-22.743449962723925
landing,2.3,0.1,0.05441011398482619,0.07283220000000001,0.33331303082837915,6.044598351001147,57.72166239401712,0.9328130631416989,5.821789313181318,0.1602278978096449,-22.553921213034563
landing,2.3,0.1,0.0545529226829491,0.07278480000000001,0.33051208098948526,5.99875542955682,57.283894740798836,0.932043018171415,5.82460353380915,0.16001827639621014,-22.3643924633452
landing,2.3,0.1,0.054695731381072,0.0727378,0.32771113115059136,5.952805379067981,56.84510408056158,0.931277872430953,5.8274243309106755,0.15980951781580977,-22.17486371365584
landing,2.3,0.1,0.054838540079194906,0.07269120000000001,0.32491018131169724,5.906748412913162,56.40529245092024,0.9305176650110393,5.830251691386941,0.1596016285858975,-21.985334963966462
landing,2.3,0.1,0.05498134877731781,0.07264500000000002,0.32210923147280335,5.860584758019723,55.964462018871494,0.9297624347319332,5.833085601307254,0.15939461517992534,-21.795806214277096
landing,2.3,0.1,0.05512415747544071,0.07259920000000002,0.31930828163390945,5.814314654893262,55.52261508107461,0.9290122201420651,5.835926045907377,0.15918848402706604,-21.606277464587734
landing,2.3,0.1,0.055266966173563616,0.07255380000000002,0.31650733179501533,5.767938357644998,55.079754064113,0.9282670595166798,5.838773009587845,0.15898324151193635,-21.416748714898358
landing,2.3,0.1,0.05540977487168652,0.07250880000000001,0.31370638195612144,5.721456134017134,54.635881524736355,0.9275269908564778,5.841626475912409,0.15877889397432016,-21.227219965208995
landing,2.3,0.1,0.05555258356980942,0.07246420000000002,0.31090543211722754,5.674868265406019,54.19100015008187,0.9267920518862675,5.844486427606617,0.15857544770889292,-21.03769121551963
landing,2.3,0.1,0.055695392267932325,0.07242000000000001,0.30810448227833365,5.628175046883274,53.74511275787597,0.9260622800536117,5.847352846556512,0.15837290896494588,-20.848162465830267
landing,2.3,0.1,0.055838200966055226,0.0723762,0.30530353243943975,5.581376787214654,53.29822229661443,0.9253377125274879,5.850225713807479,0.15817128394611188,-20.658633716140905
