zone,l0_mm,phi1_deg,phi4_deg,theta_bc_deg,theta_dc_deg,ax_mm,ay_mm,bx_mm,by_mm,cx_mm,cy_mm,dx_mm,dy_mm,ex_mm,ey_mm
baseline_70_120,74.0,173.54460931387655,6.455390686123437,40.63394974121261,139.3660502587874,0.0,0.0,-49.6829846106904,5.621480247577212,30.000000000000007,74.00000000000001,109.6829846106904,5.621480247577195,60.0,0.0
baseline_70_120,75.0,172.53376080524905,7.466239194750943,40.723445909470485,139.27655409052952,0.0,0.0,-49.57608000717968,6.497098669538563,29.999999999999996,75.00000000000003,109.57608000717967,6.4970986695385555,60.0,0.0
baseline_70_120,76.0,171.53818071527485,8.461819284725163,40.82402327808197,139.17597672191803,0.0,0.0,-49.455707043942034,7.357515938398177,30.000000000000004,75.99999999999999,109.45570704394203,7.35751593839817,60.0,0.0
baseline_70_120,77.0,170.55673658266082,9.44326341733918,40.93514665277578,139.06485334722421,0.0,0.0,-49.322427735833415,8.20354327370135,30.00000000000001,77.0,109.32242773583341,8.203543273701344,60.0,0.0
baseline_70_120,78.0,169.58838482986874,10.411615170131217,41.056329854713184,138.94367014528677,0.0,0.0,-49.1767427613549,9.035926703085243,30.000000000000018,77.99999999999999,109.1767427613549,9.035926703085215,60.0,0.0
baseline_70_120,79.0,168.63216053618083,11.367839463819141,41.18713052302172,138.81286947697828,0.0,0.0,-49.01909833441104,9.855353797877637,30.000000000000007,79.0,109.01909833441104,9.85535379787762,60.0,0.0
baseline_70_120,80.0,167.68716858958544,12.312831410414548,41.32714563050765,138.67285436949234,0.0,0.0,-48.849892085141754,10.66245953192816,30.00000000000001,79.99999999999997,108.84989208514176,10.662459531928155,60.0,0.0
baseline_70_120,81.0,166.75257599319332,13.247424006806675,41.47600759919655,138.52399240080345,0.0,0.0,-48.66947811130115,11.457831399247363,30.000000000000004,81.00000000000001,108.66947811130115,11.457831399247357,60.0,0.0
baseline_70_120,82.0,165.8276051432891,14.172394856710898,41.633380923250805,138.3666190767492,0.0,0.0,-48.47817133133613,12.242013901708344,29.999999999999996,81.99999999999999,108.47817133133613,12.242013901708349,60.0,0.0
baseline_70_120,83.0,164.91152792890676,15.088472071093237,41.79895922340806,138.20104077659195,0.0,0.0,-48.27625124631202,13.015512498667016,29.999999999999996,83.00000000000001,108.27625124631201,13.015512498667022,60.0,0.0
baseline_70_120,84.0,164.00366052896516,15.99633947103483,41.972462670353366,138.02753732964663,0.0,0.0,-48.06396519869252,13.778797094771168,30.000000000000004,84.00000000000001,108.06396519869251,13.778797094771162,60.0,0.0
baseline_70_120,85.0,163.10335880398208,16.896641196017946,42.15363572512272,137.8463642748773,0.0,0.0,-47.84153120061448,14.53230512962865,30.000000000000004,84.99999999999999,107.84153120061448,14.532305129628657,60.0,0.0
baseline_70_120,86.0,162.21001419632836,17.78998580367162,42.34224515329271,137.6577548467073,0.0,0.0,-47.60914039188202,15.276444322749573,30.000000000000014,86.00000000000001,107.60914039188204,15.276444322749544,60.0,0.0
baseline_70_120,87.0,161.32305006673735,18.67694993326266,42.53807827677164,137.46192172322836,0.0,0.0,-47.36695917780792,16.011595118784346,30.0,87.0,107.36695917780791,16.011595118784342,60.0,0.0
baseline_70_120,88.0,160.44191840600428,19.558081593995723,42.74094143279929,137.2590585672007,0.0,0.0,-47.11513108876942,16.738112871171406,30.000000000000007,88.0,107.11513108876942,16.73811287117139,60.0,0.0
baseline_70_120,89.0,159.56609687000991,20.43390312999006,42.950658614542135,137.04934138545784,0.0,0.0,-46.85377839654689,17.456329796588868,30.000000000000007,89.00000000000001,106.85377839654689,17.45632979658885,60.0,0.0
