mass_kg,l0_m,axial_force_per_leg_n,joint_torque_required_nm,stall_continuous_margin
2.0,0.0968,9.80665,0.3307582002156321,3.3256923011519413
2.0,0.0969,9.80665,0.33081445100145807,3.325126809515198
2.0,0.097,9.80665,0.33086921541077646,3.324576445210662
2.0,0.0971,9.80665,0.33092249449385663,3.3240411827622705
2.0,0.09720000000000001,9.80665,0.3309742892896719,3.3235209972375515
2.0,0.0973,9.80665,0.33102460082588475,3.323015864245654
2.0,0.0974,9.80665,0.33107343011883134,3.3225257599354316
2.0,0.0975,9.80665,0.3311207781735064,3.322050660993564
2.0,0.09759999999999999,9.80665,0.33116664598354656,3.3215905446427465
2.0,0.09770000000000001,9.80665,0.33121103453121425,3.3211453886399216
2.0,0.0978,9.80665,0.33125394478738135,3.320715171274552
2.0,0.0979,9.80665,0.3312953777115117,3.320299871366958
2.0,0.098,9.80665,0.3313353342516446,3.3198994682666876
2.0,0.09809999999999999,9.80665,0.3313738153443758,3.319513941850957
2.0,0.0982,9.80665,0.33141082191484095,3.319143272523114
2.0,0.0983,9.80665,0.33144635487669605,3.318787441211172
2.0,0.0984,9.80665,0.3314804151320991,3.318446429366382
2.0,0.0985,9.80665,0.33151300357169167,3.3181202189618437
2.0,0.0986,9.80665,0.331544121074578,3.3178087924911948
2.0,0.0987,9.80665,0.33157376850830644,3.317512132967308
2.0,0.0988,9.80665,0.33160194672884885,3.3172302239210643
2.0,0.0989,9.80665,0.33162865658058,3.316963049400163
2.0,0.099,9.80665,0.3316538988962566,3.316710593967981
2.0,0.0991,9.80665,0.33167767449699626,3.316472842702477
2.0,0.0992,9.80665,0.3316999841922557,3.316249781195142
2.0,0.0993,9.80665,0.33172082877980846,3.316041395550004
2.0,0.0994,9.80665,0.33174020904572316,3.3158476723826658
2.0,0.0995,9.80665,0.33175812576433994,3.3156685988194026
2.0,0.0996,9.80665,0.331774579698248,3.3155041624962953
2.0,0.0997,9.80665,0.3317895715982614,3.3153543515584207
2.0,0.0998,9.80665,0.3318031022033955,3.315219154659077
2.0,0.0999,9.80665,0.3318151722408429,3.3150985609590577
2.0,0.1,9.80665,0.33182578242594785,3.3149925601259826
2.0,0.1001,9.80665,0.3318349334621818,3.314901142333659
2.0,0.1002,9.80665,0.3318426260411182,3.3148242982614913
2.0,0.1003,9.80665,0.3318488608424053,3.3147620190939544
2.0,0.1004,9.80665,0.3318536385337412,3.3147142965200835
2.0,0.1005,9.80665,0.3318569597708465,3.314681122733032
2.0,0.1006,9.80665,0.331858825197437,3.3146624904296673
2.0,0.1007,9.80665,0.3318592354451958,3.314658392810217
2.0,0.1008,9.80665,0.3318581911337469,3.31466882357794
2.0,0.1009,9.80665,0.33185569287062494,3.3146937769388782
2.0,0.101,9.80665,0.33185174125124745,3.3147332476016205
2.0,0.1011,9.80665,0.3318463368588846,3.31478723077714
2.0,0.1012,9.80665,0.3318394802646313,3.3148557221786437
2.0,0.1013,9.80665,0.331831172027375,3.3149387180215055
2.0,0.10139999999999999,9.80665,0.3318214126937663,3.3150362150232175
2.0,0.1015,9.80665,0.3318102027981878,3.315148210403396
2.0,0.1016,9.80665,0.33179754286272223,3.315274701883834
2.0,0.1017,9.80665,0.331783433397121,3.315415687688598
2.0,0.1018,9.80665,0.3317678748987713,3.315571166544172
2.0,0.10189999999999999,9.80665,0.3317508678526642,3.315741137679638
2.0,0.10200000000000001,9.80665,0.3317324127313599,3.315925600826925
2.0,0.1021,9.80665,0.3317125099949556,3.316124556221072
2.0,0.1022,9.80665,0.33169116009104965,3.3163380046005706
2.0,0.1023,9.80665,0.3316683634547083,3.3165659472077236
2.0,0.10239999999999999,9.80665,0.3316441205084295,3.3168083857890704
2.0,0.10250000000000001,9.80665,0.3316184316621073,3.317065322595857
2.0,0.1026,9.80665,0.3315912973129965,3.3173367603845323
2.0,0.1027,9.80665,0.33156271784567465,3.317622702417325
2.0,0.1028,9.80665,0.33153269363200655,3.317923152462828
2.0,0.10289999999999999,9.80665,0.33150122503110474,3.3182381147966713
2.0,0.10300000000000001,9.80665,0.3314683123892928,3.318567594202204
2.0,0.1031,9.80665,0.33143395604006576,3.318911595971251
2.0,0.1032,9.80665,0.3313981563040516,3.3192701259048967
2.0,0.1033,9.80665,0.3313609134889708,3.3196431903143373
2.0,0.10339999999999999,9.80665,0.3313222278895963,3.320030796021762
2.0,0.10350000000000001,9.80665,0.3312820997877133,3.32043295036129
2.0,0.1036,9.80665,0.3312405294520769,3.32084966117996
2.0,0.1037,9.80665,0.33119751713837137,3.321280936838756
2.0,0.1038,9.80665,0.33115306308916637,3.3217267862137025
2.0,0.10389999999999999,9.80665,0.33110716753387537,3.322187218696979
2.0,0.10400000000000001,9.80665,0.33105983068871087,3.3226622441981153
2.0,0.1041,9.80665,0.33101105275664156,3.323151873145206
2.0,0.1042,9.80665,0.3309608339273462,3.323656116486207
2.0,0.1043,9.80665,0.33090917437716955,3.32417498569025
2.0,0.10439999999999999,9.80665,0.330856074269076,3.324708492749028
2.0,0.1045,9.80665,0.330801533752603,3.325256650178226
2.0,0.1046,9.80665,0.33074555296381475,3.325819471018997
2.0,0.1047,9.80665,0.3306881320252538,3.3263969688394983
2.0,0.1048,9.80665,0.33062927104589296,3.3269891577364747
2.0,0.1049,9.80665,0.3305689701210867,3.327596052336892
2.0,0.105,9.80665,0.33050722933252186,3.32821766779962
2.0,0.1051,9.80665,0.33044404874816663,3.328854019817184
2.0,0.1052,9.80665,0.3303794284222212,3.3295051246175427
2.0,0.1053,9.80665,0.3303133683950652,3.330170998965944
2.0,0.1054,9.80665,0.33024586869320605,3.3308516601668234
2.0,0.1055,9.80665,0.330176929329227,3.331547126065749
2.0,0.1056,9.80665,0.3301065503017323,3.3322574150514446
2.0,0.10569999999999999,9.80665,0.33003473159529473,3.3329825460578366
2.0,0.1058,9.80665,0.3299614731804002,3.3337225385661795
2.0,0.1059,9.80665,0.32988677501339214,3.3344774126072325
2.0,0.106,9.80665,0.32981063703641617,3.3352471887634816
