l0_m,extension_speed_m_per_s,joint_speed_rad_per_s,joint_speed_rpm,available_joint_torque_nm,axial_force_per_leg_n,total_axial_force_n,total_mechanical_power_w
0.1,1.12,16.550022002059368,158.04106859444246,5.193712519838903,153.4929579923304,306.9859159846608,343.8242259028201
0.1,1.1300000000000001,16.697790055649183,159.4521495640357,5.1838349530517505,153.20104022866218,306.40208045732436,346.2343509167766
0.1,1.1400000000000001,16.845558109239,160.86323053362895,5.173957386264598,152.909122464994,305.818244929988,348.63279922018637
0.1,1.1500000000000001,16.993326162828815,162.27431150322218,5.164079819477445,152.61720470132582,305.23440940265164,351.0195708130494
0.1,1.16,17.141094216418626,163.68539247281535,5.154202252690292,152.3252869376576,304.6505738753152,353.39466569536563
0.1,1.17,17.288862270008444,165.0964734424086,5.14432468590314,152.03336917398943,304.06673834797886,355.7580838671352
0.1,1.18,17.43663032359826,166.50755441200187,5.134447119115987,151.74145141032122,303.48290282064244,358.10982532835806
0.1,1.19,17.584398377188077,167.91863538159512,5.124569552328834,151.44953364665304,302.8990672933061,360.4498900790342
0.1,1.2,17.73216643077789,169.32971635118832,5.114691985541682,151.15761588298486,302.3152317659697,362.77827811916364
0.1,1.21,17.879934484367705,170.74079732078155,5.104814418754529,150.86569811931665,301.7313962386333,365.0949894487463
0.1,1.22,18.027702537957524,172.1518782903748,5.094936851967376,150.57378035564847,301.14756071129693,367.4000240677822
0.1,1.23,18.175470591547338,173.56295925996807,5.085059285180224,150.28186259198026,300.5637251839605,369.69338197627144
0.1,1.24,18.323238645137156,174.9740402295613,5.075181718393071,149.98994482831208,299.97988965662415,371.975063174214
0.1,1.25,18.47100669872697,176.38512119915453,5.065304151605918,149.6980270646439,299.3960541292878,374.2450676616097
0.1,1.26,18.618774752316785,177.79620216874775,5.055426584818766,149.4061093009757,298.8122186019514,376.5033954384587
0.1,1.27,18.766542805906603,179.20728313834098,5.045549018031613,149.1141915373075,298.228383074615,378.7500465047611
0.1,1.28,18.914310859496418,180.6183641079342,5.035671451244461,148.82227377363932,297.64454754727865,380.98502086051667
0.1,1.29,19.062078913086236,182.0294450775275,5.025793884457308,148.53035600997111,297.06071201994223,383.2083185057255
0.1,1.3,19.20984696667605,183.44052604712073,5.015916317670155,148.23843824630293,296.47687649260587,385.4199394403876
0.1,1.31,19.357615020265865,184.85160701671393,5.006038750883003,147.94652048263475,295.8930409652695,387.61988366450305
0.1,1.32,19.505383073855683,186.26268798630718,4.99616118409585,147.65460271896657,295.30920543793314,389.8081511780718
0.1,1.33,19.653151127445497,187.6737689559004,4.986283617308698,147.36268495529836,294.7253699105967,391.9847419810937
0.1,1.34,19.800919181035315,189.08484992549364,4.976406050521545,147.07076719163018,294.14153438326036,394.1496560735689
0.1,1.35,19.94868723462513,190.4959308950869,4.966528483734392,146.778849427962,293.557698855924,396.30289345549744
0.1,1.36,20.096455288214944,191.90701186468013,4.95665091694724,146.4869316642938,292.9738633285876,398.4444541268791
0.1,1.37,20.244223341804762,193.3180928342734,4.946773350160086,146.19501390062558,292.39002780125116,400.5743380877141
0.1,1.3800000000000001,20.391991395394577,194.7291738038666,4.936895783372934,145.9030961369574,291.8061922739148,402.69254533800245
0.1,1.3900000000000001,20.539759448984395,196.14025477345984,4.927018216585782,145.61117837328922,291.22235674657844,404.7990758777441
0.1,1.4000000000000001,20.68752750257421,197.5513357430531,4.917140649798629,145.31926060962104,290.6385212192421,406.89392970693893
0.1,1.41,20.83529555616402,198.96241671264627,4.907263083011476,145.02734284595283,290.05468569190566,408.977106825587
0.1,1.42,20.983063609753838,200.37349768223953,4.895798151074805,144.68851271058853,289.37702542117705,410.9153760980714
0.1,1.43,21.130831663343653,201.78457865183276,4.879923490166882,144.21935916183608,288.43871832367216,412.46736720285116
0.1,1.44,21.27859971693347,203.19565962142602,4.864048829258958,143.75020561308364,287.5004112261673,414.00059216568087
0.1,1.45,21.426367770523285,204.60674059101925,4.848174168351034,143.28105206433116,286.5621041286623,415.51505098656037
0.1,1.46,21.5741358241131,206.01782156061245,4.8322995074431105,142.81189851557875,285.6237970311575,417.01074366548994
0.1,1.47,21.721903877702918,207.42890253020573,4.8164248465351855,142.34274496682625,284.6854899336525,418.48767020246913
0.1,1.48,21.869671931292732,208.83998349979896,4.800550185627262,141.87359141807383,283.74718283614766,419.9458305974985
0.1,1.49,22.01743998488255,210.2510644693922,4.784675524719338,141.40443786932138,282.80887573864277,421.38522485057774
0.1,1.5,22.165208038472365,211.66214543898542,4.768800863811414,140.9352843205689,281.8705686411378,422.8058529617067
0.1,1.51,22.31297609206218,213.07322640857865,4.752926202903491,140.4661307718165,280.932261543633,424.2077149308858
0.1,1.52,22.460744145651997,214.48430737817193,4.737051541995566,139.996977223064,279.993954446128,425.59081075811457
0.1,1.53,22.60851219924181,215.8953883477651,4.721176881087643,139.52782367431158,279.05564734862315,426.9551404433934
0.1,1.54,22.75628025283163,217.3064693173584,4.7053022201797186,139.0586701255591,278.1173402511182,428.30070398672206
0.1,1.55,22.904048306421444,218.71755028695162,4.689427559271794,138.58951657680666,277.1790331536133,429.62750138810065
0.1,1.56,23.05181636001126,220.12863125654485,4.67355289836387,138.12036302805421,276.24072605610843,430.93553264752916
0.1,1.57,23.199584413601077,221.53971222613808,4.657678237455947,137.65120947930177,275.30241895860354,432.22479776500757
0.1,1.58,23.34735246719089,222.9507931957313,4.641803576548023,137.18205593054932,274.36411186109865,433.4952967405359
0.1,1.59,23.49512052078071,224.3618741653246,4.625928915640099,136.71290238179685,273.4258047635937,434.74702957411404
0.1,1.6,23.642888574370524,225.7729551349178,4.610054254732175,136.2437488330444,272.4874976660888,435.9799962657421
0.1,1.61,23.790656627960338,227.18403610451102,4.594179593824252,135.77459528429196,271.5491905685839,437.1941968154201
0.1,1.62,23.938424681550156,228.59511707410428,4.5783049329163275,135.30544173553952,270.61088347107903,438.38963122314806
0.1,1.6300000000000001,24.08619273513997,230.0061980436975,4.562430272008403,134.83628818678707,269.67257637357415,439.5662994889259
0.1,1.6400000000000001,24.23396078872979,231.41727901329074,4.546555611100479,134.3671346380346,268.7342692760692,440.7242016127535
0.1,1.6500000000000001,24.381728842319603,232.828359982884,4.530680950192555,133.89798108928215,267.7959621785643,441.86333759463116
0.1,1.6600000000000001,24.529496895909418,234.23944095247722,4.514806289284631,133.42882754052968,266.85765508105936,442.9837074345586
0.1,1.67,24.677264949499232,235.65052192207045,4.498931628376708,132.95967399177727,265.91934798355453,444.08531113253605
0.1,1.68,24.825033003089047,237.06160289166365,4.483056967468784,132.4905204430248,264.9810408860496,445.1681486885633
0.1,1.69,24.972801056678865,238.4726838612569,4.46718230656086,132.02136689427235,264.0427337885447,446.2322201026405
0.1,1.7,25.12056911026868,239.88376483085014,4.451307645652936,131.5522133455199,263.1044266910398,447.27752537476766
0.1,1.71,25.268337163858494,241.29484580044334,4.428419236659278,130.87577821616782,261.75155643233563,447.5951614992939
0.1,1.72,25.41610521744831,242.70592677003663,4.40490122049939,130.1807359217197,260.3614718434394,447.82173157071577
0.1,1.73,25.563873271038126,244.11700773962986,4.381383204339502,129.48569362727162,258.97138725454323,448.0204999503598
0.1,1.74,25.711641324627944,245.5280887092231,4.357865188179615,128.79065133282356,257.5813026656471,448.19146663822596
0.1,1.75,25.85940937821776,246.9391696788163,4.334347172019728,128.0956090383755,256.191218076751,448.33463163431423
0.1,1.76,26.007177431807573,248.35025064840954,4.3108291558598415,127.40056674392743,254.80113348785486,448.44999493862457
0.1,1.77,26.15494548539739,249.76133161800283,4.287311139699953,126.70552444947931,253.41104889895863,448.5375565511568
0.1,1.78,26.302713538987206,251.17241258759606,4.263793123540066,126.01048215503126,252.0209643100625,448.59731647191126
0.1,1.79,26.450481592577024,252.58349355718929,4.240275107380179,125.31543986058318,250.63087972116637,448.6292747008878
0.1,1.8,26.59824964616684,253.99457452678251,4.216757091220291,124.6203975661351,249.2407951322702,448.63343123808636
0.1,1.81,26.746017699756653,255.40565549637574,4.193239075060404,123.92535527168702,247.85071054337405,448.60978608350706
0.1,1.82,26.89378575334647,256.816736465969,4.169721058900517,123.23031297723897,246.46062595447793,448.5583392371499
0.1,1.83,27.041553806936285,258.2278174355622,4.1462030427406305,122.53527068279091,245.07054136558182,448.47909069901476
0.1,1.84,27.189321860526103,259.6388984051555,4.122685026580742,121.84022838834278,243.68045677668556,448.3720404691015
0.1,1.85,27.337089914115918,261.0499793747487,4.099167010420855,121.14518609389472,242.29037218778944,448.2371885474105
0.1,1.86,27.484857967705732,262.4610603443419,4.075648994260969,120.45014379944668,240.90028759889336,448.07453493394166
0.1,1.87,27.63262602129555,263.8721413139352,4.052130978101081,119.75510150499859,239.51020300999718,447.88407962869474
0.1,1.8800000000000001,27.780394074885365,265.2832222835284,4.028612961941193,119.0600592105505,238.120118421101,447.6658226316699
0.1,1.8900000000000001,27.928162128475183,266.69430325312163,4.005094945781306,118.36501691610243,236.73003383220487,447.41976394286723
0.1,1.9000000000000001,28.075930182064997,268.10538422271486,3.9815769296214194,117.66997462165438,235.33994924330875,447.14590356228666
0.1,1.9100000000000001,28.223698235654812,269.5164651923081,3.958058913461532,116.9749323272063,233.9498646544126,446.8442414899281
0.1,1.92,28.371466289244626,270.9275461619014,3.9268113459524656,116.05145388116007,232.10290776232014,445.6375829036547
0.1,1.93,28.51923434283444,272.33862713149455,3.8915343217126366,115.00889043948801,230.01778087897603,443.93431709642374
0.1,1.94,28.66700239642426,273.74970810108783,3.8562572974728044,113.96632699781587,227.93265399563174,442.1893487515256
0.1,1.95,28.814770450014073,275.16078907068106,3.8209802732329736,112.92376355614375,225.8475271122875,440.4026778689606
0.1,1.96,28.962538503603888,276.5718700402743,3.785703248993143,111.88120011447165,223.7624002289433,438.57430444872887
0.1,1.97,29.110306557193706,277.9829510098675,3.750426224753312,110.83863667279954,221.67727334559908,436.7042284908302
0.1,1.98,29.25807461078352,279.39403197946075,3.7151492005134816,109.79607323112744,219.59214646225487,434.79244999526463
0.1,1.99,29.40584266437334,280.80511294905403,3.6798721762736495,108.7535097894553,217.5070195789106,432.8389689620321
0.1,2.0,29.553610717963153,282.21619391864726,3.6445951520338187,107.71094634778318,215.42189269556636,430.8437853911327
0.1,2.0100000000000002,29.70137877155297,283.6272748882405,3.609318127793988,106.66838290611108,213.33676581222215,428.8068992825666
0.1,2.02,29.849146825142785,285.0383558578337,3.574041103554157,105.62581946443896,211.25163892887792,426.7283106363334
0.1,2.0300000000000002,29.996914878732603,286.449436827427,3.538764079314325,104.58325602276682,209.16651204553364,424.6080194524333
0.1,2.04,30.144682932322418,287.8605177970202,3.503487055074496,103.54069258109476,207.08138516218952,422.4460257308666
0.1,2.05,30.29245098591223,289.27159876661335,3.4682100308346664,102.49812913942269,204.99625827884537,420.24232947163296
0.1,2.06,30.440219039502047,290.68267973620664,3.4329330065948342,101.45556569775054,202.9111313955011,417.99693067473225
0.1,2.07,30.58798709309186,292.09376070579987,3.3976559823550034,100.41300225607843,200.82600451215686,415.7098293401647
0.1,2.08,30.73575514668168,293.5048416753931,3.3623789581151726,99.37043881440633,198.74087762881265,413.38102546793033
0.1,2.09,30.883523200271494,294.9159226449863,3.3271019338753423,98.32787537273423,196.65575074546845,411.01051905802905
0.1,2.1,31.031291253861312,296.3270036145796,3.29182490963551,97.28531193106207,194.57062386212414,408.5983101104607
0.1,2.11,31.179059307451123,297.73808458417284,3.2565478853956793,96.24274848938997,192.48549697877993,406.1443986252256
0.1,2.12,31.326827361040944,299.14916555376607,3.2212708611558485,95.20018504771785,190.4003700954357,403.6487846023237
0.1,2.13,31.474595414630755,300.5602465233593,3.189728813738413,94.26800365709543,188.53600731419087,401.5816955792265
0.1,2.14,31.622363468220577,301.9713274929526,3.1638589959625363,93.50345713320253,187.00691426640506,400.1947965301068
0.1,2.15,31.770131521810388,303.38240846254575,3.137989178186661,92.73891060930967,185.47782121861934,398.7773156200316
0.1,2.16,31.917899575400206,304.79348943213904,3.112119360410784,91.97436408541677,183.94872817083353,397.32925284900045
0.1,2.17,32.06566762899002,306.20457040173227,3.0862495426349086,91.20981756152389,182.41963512304778,395.8506082170137
0.1,2.18,32.21343568257984,307.6156513713255,3.0603797248590325,90.445271037631,180.890542075262,394.3413817240712
0.1,2.19,32.36120373616965,309.02673234091867,3.034509907083158,89.68072451373816,179.3614490274763,392.8015733701731
0.1,2.2,32.50897178975947,310.43781331051196,3.008640089307281,88.91617798984525,177.8323559796905,391.2311831553191
0.1,2.21,32.656739843349285,311.8488942801052,2.982770271531405,88.15163146595236,176.30326293190473,389.6302110795094
